stop_id,stop_name,transfers,borough
A61,Rockaway Blvd,A,Q
A60,88 St,A,Q
A59,80 St,A,Q
A57,Grant Av,A,Bk
A55,Euclid Av,A C,Bk
BWJ,Broadway Junction,A C J Z L,Bk
A48,Utica Av,A C,Bk
A46,Nostrand Av,A C,Bk
A42,Hoyt-Schermerhorn Sts,A C G,Bk
JAY,Jay St-MetroTech,A C F R,Bk
A40,High St,A C,Bk
FUL,Fulton St,2 3 4 5 A C J Z,M
WTC,Chambers St,2 3 A C E R W,M
A34,Canal St,A C E,M
A32,W 4 St-Wash Sq,A C E B D F M,M
L01,14 St-8 Av,A C E L,M
PEN,34 St-Penn Station,A C E 1 2 3,M
127,42 St-Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S,M
CBC,59 St-Columbus Circle,A B C D 1,M
A15,125 St,A C B D,M
A12,145 St,A C B D,M
A09,168 St,A C 1,M
A07,175 St,A,M
A06,181 St,A,M
A05,190 St,A,M
A03,Dyckman St,A,M
A02,Inwood-207 St,A,M